Synset ID,Lemmas,Definition,New Definution,Man,Boy,Hypernym,Hypo Definition,Hypo Lemmas,Alt Definition,Alt Lemmas
oewn-10594533-n,"seducer, ladies' man, lady killer",a man who takes advantage of women,,,,,,,,
oewn-09939148-n,choirboy,a boy who sings in a choir,,,,,,,,
oewn-10337542-n,milkman,someone who delivers milk,,,,,,,,
oewn-10616499-n,signalman,a railroad employee in charge of signals and point in a railroad yard,,,,,,,,
oewn-09905221-n,cabin boy,a young man acting as a servant on a ship,,,,,,,,
oewn-10560292-n,roundsman,a workman employed to make rounds (to deliver goods or make inspections or so on),,,,,,,,
oewn-09805332-n,altar boy,a boy serving as an acolyte,,,,,,,,
oewn-10288119-n,liveryman,a worker in a livery stable,,,,,,,,
oewn-09992476-n,cowboy,someone who is reckless or irresponsible (especially in driving vehicles),,,,,,,,
oewn-10306552-n,"maltman, maltster",a maker of malt,,,,,,,,
oewn-09928136-n,chapman,archaic term for an itinerant peddler,,,,,,,,
oewn-10823295-n,"yeoman, yeoman of the guard, beefeater",officer in the (ceremonial) bodyguard of the British monarch,,,,,,,,
oewn-10456781-n,"placeman, placeseeker",a disparaging term for an appointee,,,,,,,,
oewn-10712548-n,"internal revenue agent, tax collector, taxman, collector of internal revenue, exciseman",someone who collects taxes for the government,,,,,,,,
oewn-09863124-n,batman,an orderly assigned to serve a British military officer,,,,,,,,
oewn-10684629-n,strongman,a man who performs feats of strength at a fair or circus,,,,,,,,
oewn-09749546-n,"Scandinavian, Norse, Northman",an inhabitant of Scandinavia,,,,,,,,
oewn-10183618-n,"headman, tribal chief, chief, chieftain",the head of a tribe or clan,,,,,,,,
oewn-10153370-n,"G-man, government man, FBI agent",a special law-enforcement agent of the Federal Bureau of Investigation,,,,,,,,
oewn-10007849-n,dairyman,a man who works in a dairy,,,,,,,,
oewn-09878963-n,"blaster, chargeman",a workman employed to blast with explosives,,,,,,,,
oewn-10480626-n,"poulterer, poultryman",a dealer in poultry and poultry products,,,,,,,,
oewn-09886717-n,border patrolman,someone who patrols the borders of a country,,,,,,,,
oewn-10240156-n,"jazz musician, jazzman",a musician who plays or composes jazz music,,,,,,,,
oewn-09896590-n,"brother, comrade",used as a term of address for those male persons engaged in the same movement,,,,,,,,
oewn-10765000-n,"man, gentleman, gentleman's gentleman, valet, valet de chambre",a manservant who acts as a personal attendant to his employer,,,,,,,,
oewn-09903961-n,"butler, pantryman",a manservant (usually the head servant of a household) who has charge of wines and the table,,,,,,,,
oewn-10658867-n,sporting man,someone who leads a merry existence; especially a gambler on the outcome of sporting events,,,,,,,,
oewn-10459494-n,"playboy, Corinthian, man-about-town",a man devoted to the pursuit of pleasure,,,,,,,,
oewn-10283277-n,lineman,the surveyor who marks positions with a range pole,,,,,,,,
oewn-10569647-n,sandboy,a young peddler of sand; used now only to express great happiness in ‘happy as a sandboy’,,,,,,,,
oewn-10216023-n,iceman,someone who cuts and delivers ice,,,,,,,,
oewn-10139987-n,"garbage carter, garbage collector, garbage hauler, garbage man, garbageman, dustman, refuse collector",someone employed to collect and dispose of refuse,,,,,,,,
oewn-10137072-n,"gagman, standup comedian",a comedian who uses gags,,,,,,,,
oewn-09979596-n,"contact, middleman",a person who is in a position to give you special assistance,,,,,,,,
oewn-10789977-n,"water boy, waterer",an assistant who supplies drinking water,,,,,,,,
oewn-10489196-n,"PR man, press agent, public relations man, publicity man",someone employed to arrange publicity (for a firm or a public figure),,,,,,,,
oewn-10184590-n,"headman, headsman",an executioner who beheads the condemned person,,,,,,,,
oewn-10565619-n,"safebreaker, safecracker, cracksman",a thief who breaks open safes to steal valuable contents,,,,,,,,
oewn-09947594-n,"divine, churchman, cleric, ecclesiastic",a clergyman or other person in religious orders,,,,,,,,
oewn-09880801-n,"sailor, sailor boy, bluejacket, navy man",a serviceman in the navy,,,,,,,,
oewn-09996708-n,"crew member, crewman",a member of a flight crew,,,,,,,,
oewn-10196310-n,"hand, hired hand, hired man",a hired laborer on a farm or ranch,,,,,,,,
oewn-09952246-n,coastguardsman,a member of a coastguard,,,,,,,,
oewn-10230706-n,"interlocutor, middleman",the performer in the middle of a minstrel line who engages the others in talk,,,,,,,,
oewn-10742407-n,"trainman, railroad man, railroader, railway man, railwayman",an employee of a railroad,,,,,,,,
oewn-10113427-n,"fisher, fisherman",someone whose occupation is catching fish,,,,,,,,
oewn-09900985-n,bushman,a dweller in the Australian bush country,,,,,,,,
oewn-10532713-n,"redact, redactor, reviser, rewrite man, rewriter",someone who puts text into appropriate form for publication,,,,,,,,
oewn-09914932-n,career man,a man who is a careerist,,,,,,,,
oewn-10224540-n,"infantryman, foot soldier, footslogger, marcher",fights on foot with small arms,,,,,,,,
oewn-10157889-n,good guy,any person who is on your side,,,,,,,,
oewn-10773007-n,"vigilance man, vigilante",member of a vigilance committee,,,,,,,,
oewn-09922184-n,"troglodyte, cave dweller, cave man, caveman",someone who lives in a cave,,,,,,,,
oewn-09996612-n,crewman,a member of a work crew,,,,,,,,
oewn-10060037-n,Dutch uncle,a counselor who admonishes frankly and sternly,,,,,,,,
oewn-09862831-n,bat boy,(baseball) a boy who takes care of bats and other baseball equipment,,,,,,,,
oewn-10008135-n,dalesman,a person who lives in the dales of northern England,,,,,,,,
oewn-10308837-n,man,a male subordinate,,,,,,,,
oewn-09781176-n,"registered representative, account executive, account representative, customer's broker, customer's man",someone in charge of a client's account for an advertising agency or brokerage or other service business,,,,,,,,
oewn-09899082-n,bullyboy,a swaggering tough; usually one acting as an agent of a political faction,,,,,,,,
oewn-10615756-n,sidesman,(Church of England) an assistant to the churchwarden; collects offerings of money in the church,,,,,,,,
oewn-10593869-n,section man,someone who teaches a section of a large college course,,,,,,,,
oewn-09801838-n,alderman,a member of a municipal legislative body (as a city council),,,,,,,,
oewn-10236360-n,"ironmonger, hardwareman",someone who sells hardware,,,,,,,,
oewn-10426650-n,patriarch,title for the heads of the Eastern Orthodox Churches (in Istanbul and Alexandria and Moscow and Jerusalem),,,,,,,,
oewn-10453501-n,"pandar, pander, panderer, pimp, ponce, procurer, fancy man",someone who procures customers for whores (in England they call a pimp a ponce),,,,,,,,
oewn-10068420-n,elder statesman,any influential person whose advice is highly respected,,,,,,,,
oewn-10178882-n,"odd-job man, handyman, jack of all trades",a man skilled in various odd jobs and other small tasks,,,,,,,,
oewn-09917055-n,"carrier, newsboy",a boy who delivers newspapers,,,,,,,,
oewn-10288775-n,"lockkeeper, lockman, lockmaster",a worker in charge of a lock (on a canal),,,,,,,,
oewn-10230873-n,"intern, interne, houseman, medical intern",an advanced student or graduate in medicine gaining supervised practical experience,,,,,,,,
oewn-10181460-n,"hatchet man, enforcer",one whose job it is to execute unpleasant tasks for a superior,,,,,,,,
oewn-10104986-n,"swordsman, fencer",someone skilled at fencing,,,,,,,,
