Synset ID,Lemmas,Definition,New Definition,Man,Boy,Hypernym,Hypo Definition,Hypo Lemmas,Alt Definition,Alt Lemmas,Generic Lemma,
oewn-10168183-n,"groundkeeper, groundskeeper, groundsman",someone who maintains the grounds (of an estate or park or athletic field),,FALSE,FALSE,,a man who maintains the grounds (of an estate or park or athletic field),groundsman,a woman who maintains the grounds (of an estate or park or athletic field),groundswoman,,
oewn-10098586-n,"granger, sodbuster, husbandman, farmer",a person who operates a farm,,FALSE,FALSE,,a male person who operates a farm,husbandman,a female person who operates a farm,husbandwoman,,
oewn-09974358-n,"con artist, con man, confidence man",a swindler who exploits the confidence of his victim,,FALSE,FALSE,,a male swindler who exploits the confidence of his victim,"con man, confidence man",a female swindler who exploits the confidence of his victim,"con woman, confidence woman",,
oewn-09863364-n,"batter, slugger, batsman, hitter",(baseball) a ballplayer who is batting,,FALSE,FALSE,,(baseball) a male ballplayer who is batting,batsman,(baseball) a female ballplayer who is batting,batswoman,,
oewn-10242167-n,"jobber, wholesaler, middleman",someone who buys large quantities of goods and resells to merchants rather than to the ultimate customers,,FALSE,FALSE,,a man who buys large quantities of goods and resells to merchants rather than to the ultimate customers,middleman,a woman who buys large quantities of goods and resells to merchants rather than to the ultimate customers,middlewoman,,
oewn-10341290-n,Minuteman,an American militiaman prior to and during the American Revolution,,TRUE,FALSE,,,,,,,Historically male
oewn-09951887-n,coalman,someone who delivers coal,,FALSE,FALSE,,a man who delivers coal,coalman,a woman who delivers coal,coalwoman,coal seller,
oewn-10290474-n,longbowman,a medieval English archer who used a longbow,,FALSE,FALSE,,a male medieval English archer who used a longbow,longbowman,,,,Female unattested
oewn-10337158-n,"MP, military policeman",a member of the military police who polices soldiers and guards prisoners,,FALSE,FALSE,,a male member of the military police who polices soldiers and guards prisoners,military policeman,a female member of the military police who polices soldiers and guards prisoners,military policewoman,military police officer,
oewn-10359063-n,"muscle, muscleman",a bully employed as a thug or bodyguard,,FALSE,FALSE,,a male bully employed as a thug or bodyguard,muscleman,a female bully employed as a thug or bodyguard,"musclewoman, muscle woman",,
oewn-09868183-n,"bellboy, bellhop, bellman",someone employed as an errand boy and luggage carrier around hotels,,FALSE,FALSE,,a man employed as an errand boy and luggage carrier around hotels,"bellman, bellboy",a woman employed as an errand boy and luggage carrier around hotels,"bellwoman, bellgirl",,
oewn-10076527-n,"corner man, end man",a man at one end of line of performers in a minstrel show; carries on humorous dialogue with the interlocutor,,TRUE,FALSE,,,,,,,Female unattested and definition is male
oewn-10613153-n,"impresario, showman, promoter",a sponsor who books and stages public entertainments,,FALSE,FALSE,,a male sponsor who books and stages public entertainments,showman,a female sponsor who books and stages public entertainments,showwoman,,
oewn-10748276-n,tribesman,someone who lives in a tribe,,FALSE,FALSE,,a man who lives in a tribe,tribesman,a woman who lives in a tribe,tribeswoman,tribesperson,
oewn-10494882-n,"printer, pressman",someone whose occupation is printing,,FALSE,FALSE,,a man whose occupation is printing,pressman,a woman whose occupation is printing,presswoman,,
oewn-10189389-n,"steerer, steersman, helmsman",the person who steers a ship,a person who steers a ship,FALSE,FALSE,,a man who steers a ship,"steersman, helmsman",a woman who steers a ship,"steerswoman, helmswoman",,
oewn-09831257-n,"gunner, artilleryman, cannoneer, machine gunner",a serviceman in the artillery,,FALSE,FALSE,,a male serviceman in the artillery,artilleryman,a female serviceman in the artillery,artillerywoman,,
oewn-10809832-n,"woodman, woodsman, woodworker",makes things out of wood,someone who makes things out of wood,FALSE,FALSE,,a man who makes things out of wood,"woodman, woodsman",a woman who makes things out of wood,woodswoman,,
oewn-10518136-n,"quarrier, quarryman",a man who works in a quarry, ,TRUE,FALSE,,,,,,,
oewn-10112257-n,"first baseman, first sacker",(baseball) the person who plays first base,,FALSE,FALSE,,(baseball) a man who plays first base,first baseman,(baseball) a woman who plays first base,first basewoman,,
oewn-09943653-n,city man,a financier who works in one of the banks in the City of London,,FALSE,FALSE,,a male financier who works in one of the banks in the City of London,city man,a female financier who works in one of the banks in the City of London,city woman,city financier,
oewn-09882251-n,"bodybuilder, muscle builder, muscle-builder, musclebuilder, muscleman",someone who does special exercises to develop a brawny musculature,,FALSE,FALSE,,a man who does special exercises to develop a brawny musculature,muscleman,a woman who does special exercises to develop a brawny musculature,musclewoman,,
oewn-10577282-n,"scholar, scholarly person, bookman",a learned person; someone who by long study has gained mastery in one or more disciplines,,FALSE,FALSE,,a male learned person; someone who by long study has gained mastery in one or more disciplines,bookman,a female learned person; someone who by long study has gained mastery in one or more disciplines,bookwoman,,
oewn-09995160-n,craftsman,a professional whose work is consistently of high quality,,FALSE,FALSE,,a male professional whose work is consistently of high quality,craftsman,a female professional whose work is consistently of high quality,craftswoman,craftsperson,
oewn-10663740-n,"groom, stableboy, stableman, ostler, hostler",someone employed in a stable to take care of the horses,,FALSE,FALSE,,a man employed in a stable to take care of the horses,"stableman, stableboy",a woman employed in a stable to take care of the horses,"stablewoman, stablegirl",,
oewn-09881352-n,"boater, boatman, waterman",someone who drives or rides in a boat,,FALSE,FALSE,,a man who drives or rides in a boat,"boatman, waterman",a woman who drives or rides in a boat,"boatwoman, waterwoman",,
oewn-10587628-n,"second baseman, second sacker",(baseball) the person who plays second base,,FALSE,FALSE,,(baseball) a man who plays second base,second baseman,(baseball) a woman who plays second base,second basewoman,,
oewn-09799988-n,"aircraftman, aircraftsman",a noncommissioned officer in the British Royal Air Force,,FALSE,FALSE,,a male noncommissioned officer in the British Royal Air Force,"aircraftman, aircraftsman",a female noncommissioned officer in the British Royal Air Force,"aircraftwoman, aircraftswoman",aircraft officer,
oewn-10133352-n,"straw man, strawman, figurehead, front, front man, nominal head",a person used as a cover for some questionable activity,,FALSE,FALSE,,a male person used as a cover for some questionable activity,"straw man, strawman, front man",a female person used as a cover for some questionable activity,"straw woman, strawwoman, front woman",,
oewn-10205969-n,"horticulturist, plantsman",an expert in the science of cultivating plants (fruit or flowers or vegetables or ornamental plants),,FALSE,FALSE,,a male expert in the science of cultivating plants (fruit or flowers or vegetables or ornamental plants),plantsman,a female expert in the science of cultivating plants (fruit or flowers or vegetables or ornamental plants),plantswoman,,
oewn-10265038-n,"landlubber, landsman, lubber",an inexperienced sailor; a sailor on the first voyage,,FALSE,FALSE,,a male inexperienced sailor; a sailor on the first voyage,landsman,a female inexperienced sailor; a sailor on the first voyage,landswoman,,
oewn-10109789-n,"financier, moneyman",a person skilled in large scale financial transactions,,FALSE,FALSE,,a male person skilled in large scale financial transactions,moneyman,a female person skilled in large scale financial transactions,moneywoman,,
oewn-10701616-n,"swagger, swaggie, swagman",an itinerant Australian laborer who carries his personal belongings in a bundle as he travels around in search of work,,FALSE,FALSE,,a male itinerant Australian laborer who carries his personal belongings in a bundle as he travels around in search of work,swagman,a female itinerant Australian laborer who carries his personal belongings in a bundle as he travels around in search of work,swagwoman,,
oewn-10716631-n,"Ted, Teddy boy",a tough youth of 1950's and 1960's wearing Edwardian style clothes,,FALSE,FALSE,,a male tough youth of 1950's and 1960's wearing Edwardian style clothes,Teddy boy,a female tough youth of 1950's and 1960's wearing Edwardian style clothes,Teddy girl,,
oewn-10732903-n,T-man,a special law-enforcement agent of the United States Treasury,,FALSE,FALSE,,a male special law-enforcement agent of the United States Treasury,T-man,a female special law-enforcement agent of the United States Treasury,T-woman,treasury agent,
oewn-10467639-n,point man,a soldier who goes ahead of a patrol,,FALSE,FALSE,,a male soldier who goes ahead of a patrol,point man,a female soldier who goes ahead of a patrol,point woman,point person,
oewn-10402793-n,organization man,an employee who sacrifices his own individuality for the good of an organization,,FALSE,FALSE,,a male employee who sacrifices his own individuality for the good of an organization,organization man,,,,merge with company man/woman?
oewn-09856847-n,bandsman,a player in a band (especially a military band),,FALSE,FALSE,,a male player in a band (especially a military band),bandsman,a female player in a band (especially a military band),bandswoman,band player,
oewn-10311713-n,"rich man, wealthy man, man of means",a man who is wealthy,a person who is wealthy,FALSE,FALSE,,a man who is wealthy,"rich man, wealthy man",a woman who is wealthy,"rich woman, wealthy woman",,
oewn-09943771-n,"city boy, city slicker",a city dweller with sophisticated manners and clothing,,FALSE,FALSE,,a male city dweller with sophisticated manners and clothing,city boy,a female city dweller with sophisticated manners and clothing,city girl,,
oewn-10791760-n,"weather forecaster, weatherman",predicts the weather,someone who predicts the weather,FALSE,FALSE,,a man who predicts the weather,weatherman,a woman who predicts the weather,weatherwoman,,
oewn-10281085-n,"bargee, bargeman, lighterman",someone who operates a barge,,FALSE,FALSE,,a man who operates a barge,"bargeman, lighterman",a woman who operates a barge,"bargewoman, lighterwoman",,
oewn-10167369-n,grocery boy,a delivery boy for groceries,,FALSE,TRUE,,,,,,,
oewn-10079131-n,"otolaryngologist, otorhinolaryngologist, rhinolaryngologist, ENT man, ear-nose-and-throat doctor",a specialist in the disorders of the ear or nose or throat,,FALSE,FALSE,,a male specialist in the disorders of the ear or nose or throat,ENT man,a female specialist in the disorders of the ear or nose or throat,ENT woman,,
oewn-10265204-n,"landlubber, landman, landsman",a person who lives and works on land,,FALSE,FALSE,,a male person who lives and works on land,"landman, landsman",a female person who lives and works on land,"landwoman, landswoman",,
oewn-10595149-n,"seedman, seedsman",a dealer in seeds,,FALSE,FALSE,,a male dealer in seeds,"seedman, seedsman",a female dealer in seeds,"seedwoman, seedswoman",seed seller,
oewn-10134928-n,fugleman,a leader and organizer and spokesman (especially a political leader),,FALSE,FALSE,,a male leader and organizer and spokesman (especially a political leader),fugleman,a female leader and organizer and spokesman (especially a political leader),fuglewoman,,No gender neutral term?
oewn-10076419-n,end man,a man at one end of a row of people,,TRUE,FALSE,,,,,,,
