Synset ID,Lemma,Gendered Word,Gender,Is Gendered Word?,
oewn-09898387-n,bull,bull,M,FALSE,
oewn-11428036-n,Zukerman,man,M,FALSE,
oewn-11428036-n,Pinchas Zukerman,man,M,FALSE,
oewn-09925991-n,hero,hero,M,FALSE,
oewn-09925991-n,hero,hero,M,FALSE,
oewn-10549958-n,riding master,master,M,FALSE,
oewn-10741678-n,trail boss,boss,M,FALSE,
oewn-09994955-n,craftsman,man,M,TRUE,
oewn-10201076-n,homeboy,boy,M,TRUE,
oewn-10201076-n,homeboy,boy,M,TRUE,
oewn-10601959-n,servant girl,girl,F,TRUE,
oewn-10601959-n,servant girl,girl,F,TRUE,
oewn-10601959-n,servant girl,girl,F,TRUE,
oewn-10601959-n,serving girl,girl,F,TRUE,
oewn-10601959-n,serving girl,girl,F,TRUE,
oewn-10601959-n,serving girl,girl,F,TRUE,
oewn-09849044-n,bacchant,bacchant,M,FALSE,not gendered. Due to 'priest'
oewn-10776505-n,visiting fireman,man,M,TRUE,
oewn-10414028-n,palatine,palatine,M,FALSE,
oewn-10320756-n,material witness,ess,F,FALSE,
oewn-10048793-n,draftsman,man,M,TRUE,
oewn-10625393-n,skilled workman,man,M,TRUE,
oewn-10490364-n,priest,priest,M,FALSE,
oewn-09767432-n,East German,man,M,FALSE,
oewn-10315032-n,marquess,ess,F,TRUE,
oewn-10275156-n,letterman,man,M,TRUE,
oewn-09732656-n,Norman,man,M,FALSE,
oewn-11404750-n,Whitman,man,M,FALSE,
oewn-11404750-n,Marcus Whitman,man,M,FALSE,
oewn-10423378-n,party man,man,M,TRUE,
oewn-10053745-n,drill master,master,M,FALSE,
oewn-10770579-n,vice chairman,chairman,M,TRUE,
oewn-10770579-n,vice chairman,airman,M,TRUE,
oewn-10770579-n,vice chairman,man,M,TRUE,
oewn-10111118-n,fire chief,chief,M,FALSE,
oewn-10195138-n,highwayman,man,M,TRUE,
oewn-10195138-n,road agent,gent,M,FALSE,
oewn-09864306-n,beadsman,man,M,TRUE,
oewn-09864306-n,bedesman,man,M,TRUE,
oewn-10518940-n,female monarch,male monarch,M,FALSE,
oewn-10141371-n,gasman,man,M,TRUE,
oewn-10314614-n,marksman,man,M,TRUE,
oewn-10537787-n,fireman,man,M,TRUE,
oewn-09900824-n,busboy,boy,M,TRUE,
oewn-09900824-n,busboy,boy,M,TRUE,
oewn-10112649-n,first lady,first lady,F,TRUE,
oewn-10112649-n,first lady,lady,F,TRUE,
oewn-10112649-n,first lady,lady,F,TRUE,
oewn-10141252-n,gas fitter,fitter,M,FALSE,
oewn-09760187-n,Alabaman,man,M,FALSE,
oewn-10771453-n,vicereine,vicereine,F,TRUE,
oewn-10760809-n,upstart,tart,F,FALSE,
oewn-09939229-n,choirmaster,master,M,FALSE,
oewn-10200554-n,stickup man,man,M,TRUE,
oewn-10200554-n,holdup man,man,M,TRUE,
oewn-10131232-n,freight agent,gent,M,FALSE,
oewn-09701369-n,Jewess,ess,F,TRUE,
oewn-10046278-n,doorman,man,M,TRUE,
oewn-10741786-n,trainbandsman,man,M,TRUE,
oewn-10714435-n,teaching fellow,fellow,M,FALSE,
oewn-10714435-n,teaching fellow,fellow,M,FALSE,
oewn-10136811-n,gaffer,gaffer,M,FALSE,
oewn-10136811-n,gaffer,gaffer,M,FALSE,
oewn-10607013-n,sheepman,man,M,TRUE,
oewn-11379862-n,Sir Anthony Vandyke,dyke,F,FALSE,
oewn-11379862-n,Anthony Vandyke,dyke,F,FALSE,
oewn-11379862-n,Vandyke,dyke,F,FALSE,
oewn-10201178-n,homeboy,boy,M,TRUE,
oewn-10201178-n,homeboy,boy,M,TRUE,
oewn-10822635-n,yardmaster,master,M,FALSE,
oewn-10822635-n,trainmaster,master,M,FALSE,
oewn-10555161-n,cragsman,man,M,TRUE,
oewn-10117764-n,flower girl,girl,F,TRUE,
oewn-10117764-n,flower girl,girl,F,TRUE,
oewn-10117764-n,flower girl,girl,F,TRUE,
oewn-09828109-n,armiger,armiger,M,FALSE,
oewn-09873287-n,head honcho,honcho,M,FALSE,
oewn-09873287-n,head honcho,ho,F,FALSE,
oewn-10323685-n,mayoress,mayoress,F,TRUE,
oewn-10323685-n,mayoress,ess,F,TRUE,
oewn-10513507-n,purchasing agent,gent,M,FALSE,
oewn-10802308-n,wingman,man,M,TRUE,
oewn-10270570-n,lay witness,ess,F,FALSE,
oewn-10242023-n,jimdandy,dandy,M,FALSE,
oewn-10315140-n,marquess,ess,F,TRUE,
oewn-10453374-n,Piltdown man,man,M,FALSE,
oewn-10584625-n,scrub nurse,nurse,F,FALSE,
oewn-10612800-n,gunman,man,M,TRUE,
oewn-10540693-n,service man,man,M,TRUE,
oewn-10540693-n,repairman,airman,M,TRUE,
oewn-10540693-n,repairman,man,M,TRUE,
oewn-10540693-n,maintenance man,man,M,TRUE,
oewn-10096004-n,fairy godmother,mother,F,TRUE,
oewn-10096004-n,fairy godmother,mother,F,TRUE,
oewn-10293603-n,Lot's wife,wife,F,TRUE,
oewn-10318465-n,master,master,M,FALSE,
oewn-09800117-n,aircrewman,man,M,TRUE,
oewn-10270224-n,layman,man,M,TRUE,
oewn-10168183-n,groundsman,man,M,TRUE,
oewn-10083726-n,espionage agent,gent,M,FALSE,
oewn-10098586-n,sodbuster,buster,M,FALSE,
oewn-10098586-n,husbandman,man,M,TRUE,
oewn-10748650-n,attempter,tempter,M,FALSE,
oewn-10990271-n,Richard Feynman,man,M,FALSE,
oewn-10990271-n,Richard Phillips Feynman,man,M,FALSE,
oewn-10990271-n,Feynman,man,M,FALSE,
oewn-10805946-n,witness,ess,F,FALSE,
oewn-09974358-n,con man,man,M,TRUE,
oewn-09974358-n,confidence man,man,M,TRUE,
oewn-09863364-n,batsman,man,M,TRUE,
oewn-10242167-n,middleman,man,M,TRUE,
oewn-10341290-n,Minuteman,man,M,TRUE,
oewn-10663501-n,gallant,gallant,M,FALSE,
oewn-09951887-n,coalman,man,M,TRUE,
oewn-10290474-n,longbowman,man,M,TRUE,
oewn-10337158-n,military policeman,policeman,M,TRUE,
oewn-10337158-n,military policeman,man,M,TRUE,
oewn-10113587-n,fishwife,wife,F,TRUE,
oewn-10359063-n,muscleman,man,M,TRUE,
oewn-09868183-n,bellboy,boy,M,TRUE,
oewn-09868183-n,bellboy,boy,M,TRUE,
oewn-09868183-n,bellman,man,M,TRUE,
oewn-10301243-n,magus,magus,M,FALSE,gendered due to 'priest'
oewn-10076527-n,corner man,man,M,TRUE,
oewn-10076527-n,end man,man,M,TRUE,
oewn-10126411-n,foster-nurse,nurse,F,FALSE,
oewn-11039265-n,Guinness,ess,F,FALSE,
oewn-11039265-n,Sir Alec Guinness,ess,F,FALSE,
oewn-11039265-n,Alec Guinness,ess,F,FALSE,
oewn-10613153-n,showman,man,M,TRUE,
oewn-10748276-n,tribesman,man,M,TRUE,
oewn-10494882-n,pressman,pressman,M,TRUE,
oewn-10494882-n,pressman,man,M,TRUE,
oewn-10189389-n,steersman,man,M,TRUE,
oewn-10189389-n,helmsman,man,M,TRUE,
oewn-10368974-n,resister,sister,F,FALSE,
oewn-09817439-n,ape-man,man,M,FALSE,
oewn-10103950-n,female sibling,male sibling,M,FALSE,
oewn-09843234-n,au pair girl,girl,F,TRUE,
oewn-09843234-n,au pair girl,girl,F,TRUE,
oewn-09843234-n,au pair girl,girl,F,TRUE,
oewn-10582742-n,scoutmaster,master,M,FALSE,
oewn-09831257-n,artilleryman,man,M,TRUE,
oewn-10809832-n,woodman,man,M,TRUE,
oewn-10809832-n,woodsman,man,M,TRUE,
oewn-10142098-n,gaucho,ho,F,FALSE,
oewn-10518136-n,quarryman,man,M,TRUE,
oewn-11002654-n,Friedman,man,M,FALSE,
oewn-11002654-n,Milton Friedman,man,M,FALSE,
oewn-10539879-n,Renaissance man,man,M,FALSE,
oewn-10803789-n,wise guy,guy,M,TRUE,
oewn-10238791-n,gaolbird,bird,F,FALSE,
oewn-10238791-n,jail bird,bird,F,FALSE,
oewn-10238791-n,jailbird,bird,F,FALSE,
oewn-10531794-n,recruit,recruit,M,FALSE,recruit' is not gendered
oewn-10397725-n,onlooker,looker,F,FALSE,
oewn-10535710-n,regent,gent,M,FALSE,
oewn-09682366-n,Navaho,ho,F,FALSE,
oewn-10112257-n,first baseman,man,M,TRUE,
oewn-11361132-n,Thorndike,dike,F,FALSE,
oewn-11361132-n,Edward Lee Thorndike,dike,F,FALSE,
oewn-11361132-n,Edward Thorndike,dike,F,FALSE,
oewn-10779488-n,votary,votary,M,FALSE,
oewn-10805709-n,witness,ess,F,FALSE,
oewn-09943653-n,city man,man,M,TRUE,
oewn-09882251-n,muscleman,man,M,TRUE,
oewn-10672968-n,steamfitter,fitter,M,FALSE,
oewn-11050021-n,Harriman,man,M,FALSE,
oewn-11050021-n,Averell Harriman,man,M,FALSE,
oewn-11050021-n,W. Averell Harriman,man,M,FALSE,
oewn-11050021-n,William Averell Harriman,man,M,FALSE,
oewn-10123833-n,boss,boss,M,FALSE,
oewn-10577282-n,bookman,man,M,TRUE,
oewn-09854405-n,ballet mistress,mistress,F,TRUE,
oewn-09854405-n,ballet mistress,mistress,F,TRUE,
oewn-09854405-n,ballet mistress,mistress,F,TRUE,
oewn-09854405-n,ballet mistress,ess,F,TRUE,
oewn-10773585-n,villainess,ess,F,TRUE,
oewn-09995160-n,craftsman,man,M,TRUE,
oewn-10499078-n,procuress,ess,F,TRUE,
oewn-09847846-n,baby buster,buster,M,FALSE,
oewn-09847846-n,buster,buster,M,FALSE,
oewn-10010315-n,dance master,master,M,FALSE,
oewn-10010315-n,dancing-master,master,M,FALSE,
oewn-10663740-n,groom,groom,M,FALSE,sense not gendered
oewn-10663740-n,groom,groom,M,FALSE,sense not gendered
oewn-10663740-n,stableboy,boy,M,TRUE,
oewn-10663740-n,stableboy,boy,M,TRUE,
oewn-10663740-n,stableman,man,M,TRUE,
oewn-10783288-n,waitress,ess,F,TRUE,
oewn-10308177-n,man,man,M,FALSE,
oewn-09881352-n,boatman,man,M,TRUE,
oewn-09881352-n,waterman,man,M,TRUE,
oewn-09961245-n,commander in chief,chief,M,FALSE,
oewn-09961245-n,commander-in-chief,chief,M,FALSE,
oewn-11301827-n,Sargent,gent,M,FALSE,
oewn-11301827-n,John Singer Sargent,gent,M,FALSE,
oewn-09887563-n,Boswell,swell,M,FALSE,
