SSID,Members,Definition,Appropriate,Unbiased,Biased,Incidental,Comment
oewn-09600779-n,Psyche,(Greek mythology) a beautiful princess loved by Cupid who visited her at night and told her she must not try to see him; became the personification of the soul,TRUE,FALSE,FALSE,FALSE,
oewn-09601426-n,Pandora,(Greek mythology) the first woman; created by Hephaestus on orders from Zeus who presented her to Epimetheus along with a box filled with evils,TRUE,FALSE,FALSE,FALSE,
oewn-09615147-n,Cinderella,a fictional young girl who is saved from her stepmother and stepsisters by her fairy godmother and a handsome prince,TRUE,FALSE,FALSE,FALSE,
oewn-09615737-n,Medea,(Greek mythology) a princess of Colchis who aided Jason in taking the Golden Fleece from her father,TRUE,FALSE,FALSE,FALSE,
oewn-09616318-n,Penelope,(Greek mythology) the wife of Odysseus and a symbol of devotion and fidelity; for 10 years while Odysseus fought the Trojan War she resisted numerous suitors until Odysseus returned and killed them,TRUE,FALSE,FALSE,FALSE,
oewn-09618414-n,Iphigenia,(Greek mythology) the daughter of Clytemnestra and Agamemnon; Agamemnon was obliged to offer her as a sacrifice to Artemis when the Greek fleet was becalmed on its way to Troy; Artemis rescued her and she later became a priestess,TRUE,FALSE,FALSE,FALSE,
oewn-09619548-n,Antigone,(Greek mythology) the daughter of King Oedipus who disobeyed her father and was condemned to death,TRUE,FALSE,FALSE,FALSE,
oewn-09619907-n,Jocasta,(Greek mythology) queen of Thebes who unknowingly married her own son Oedipus,TRUE,FALSE,FALSE,FALSE,
oewn-09620058-n,Electra,(Greek mythology) the daughter of Agamemnon and Clytemnestra; persuaded her brother (Orestes) to avenge Agamemnon's death by helping her to kill Clytemnestra and her lover (Aegisthus),TRUE,FALSE,FALSE,FALSE,
oewn-09623362-n,"Helen, Helen of Troy",(Greek mythology) the beautiful daughter of Zeus and Leda who was abducted by Paris; the Greek army sailed to Troy to get her back which resulted in the Trojan War,TRUE,FALSE,FALSE,FALSE,
oewn-09851993-n,bag lady,a homeless woman who carries all her possessions with her in shopping bags,TRUE,FALSE,FALSE,FALSE,
oewn-09894191-n,bride,a woman participant in her own marriage ceremony,TRUE,FALSE,FALSE,FALSE,
oewn-09984664-n,"tease, flirt, vamp, prickteaser, coquette, vamper, minx",a seductive woman who uses her sex appeal to exploit men,TRUE,FALSE,FALSE,FALSE,
oewn-10017372-n,"deb, debutante",a young woman making her debut into society,TRUE,FALSE,FALSE,FALSE,
oewn-10040091-n,"grass widow, divorcee",a divorced woman or a woman who is separated from her husband,TRUE,FALSE,FALSE,FALSE,
oewn-10048014-n,dowager,a widow holding property received from her deceased husband,TRUE,FALSE,FALSE,FALSE,
oewn-10058134-n,duchess,the wife of a duke or a woman holding ducal title in her own right,TRUE,FALSE,FALSE,FALSE,
oewn-10115189-n,flapper,a young woman in the 1920s who flaunted her unconventional conduct and dress,TRUE,FALSE,FALSE,FALSE,
oewn-10126411-n,foster-nurse,a nurse who raises another woman's child as her own,TRUE,FALSE,FALSE,FALSE,
oewn-10157018-n,golf widow,a wife who is left alone much of the time because her husband is playing golf,TRUE,FALSE,FALSE,FALSE,
oewn-10161450-n,grand duchess,the wife of a grand duke or a woman holding that rank in her own right,TRUE,FALSE,FALSE,FALSE,
oewn-10202966-n,honest woman,a wife who has married a man with whom she has been living for some time (especially if she is pregnant at the time),TRUE,FALSE,FALSE,FALSE,
oewn-10209395-n,"homemaker, housewife, lady of the house, woman of the house",a wife who manages a household while her husband earns the family income,TRUE,FALSE,FALSE,FALSE,homemaker is not gendered
oewn-10245889-n,Judith,Jewish heroine in one of the books of the Apocrypha; she saved her people by decapitating the Assyrian general Holofernes,TRUE,FALSE,FALSE,FALSE,
oewn-10260721-n,"birthing coach, doula, labor coach, monitrice",an assistant (often the father of the soon-to-be-born child) who provides support for a woman in labor by encouraging her to use techniques learned in childbirth-preparation classes,TRUE,FALSE,FALSE,FALSE,ok. refers to mother
oewn-10287416-n,Little Red Riding Hood,a girl in a fairy tale who meets a wolf while going to visit her grandmother,TRUE,FALSE,FALSE,FALSE,
oewn-10353314-n,mother's daughter,a daughter who is favored by and similar to her mother,TRUE,FALSE,FALSE,FALSE,
oewn-10378816-n,niqaabi,an observant Muslim woman who covers her face and hands when in public or in the presence of any man outside her immediate family,TRUE,FALSE,FALSE,FALSE,
oewn-10512032-n,puller,someone who applies force so as to cause motion toward herself or himself,FALSE,TRUE,FALSE,FALSE,
oewn-10519802-n,queen,something personified as a woman who is considered the best or most important of her kind,TRUE,FALSE,FALSE,FALSE,
oewn-10612003-n,shopper,a commercial agent who shops at the competitor's store in order to compare their prices and merchandise with those of the store that employs her,FALSE,FALSE,TRUE,FALSE,
oewn-10658445-n,sport,a person known for the way she (or he) behaves when teased or defeated or subjected to trying circumstances,FALSE,TRUE,FALSE,FALSE,parentheses
oewn-10775594-n,viscountess,a noblewoman holding the rank of viscount in her own right,TRUE,FALSE,FALSE,FALSE,
oewn-10829819-n,"Agrippina, Agrippina the Younger",wife who poisoned Claudius after her son Nero was declared heir and who was then put to death by Nero,TRUE,FALSE,FALSE,FALSE,
oewn-10834717-n,"Grace Ethel Cecile Rosalie Allen, Gracie, Gracie Allen, Allen","United States comedienne remembered as the confused but imperturbable partner of her husband, George Burns (1906-1964)",TRUE,FALSE,FALSE,FALSE,
oewn-10837062-n,"Anderson, Marian Anderson",United States contralto noted for her performance of spirituals (1902-1993),TRUE,FALSE,FALSE,FALSE,
oewn-10838073-n,Anne,Queen of England and Scotland and Ireland; daughter of James II and the last of the Stuart monarchs; in 1707 she was the last English ruler to exercise the royal veto over parliament (1665-1714),TRUE,FALSE,FALSE,FALSE,
oewn-10848897-n,"Jane Austen, Austen",English novelist noted for her insightful portrayals of middle-class families (1775-1817),TRUE,FALSE,FALSE,FALSE,
oewn-10857884-n,Bathsheba,(Old Testament) the wife of Uriah and later the wife of king David; Solomon was her son by David (circa 10th century BC),TRUE,FALSE,FALSE,FALSE,
oewn-10886470-n,"Browning, Elizabeth Barrett Browning",English poet best remembered for love sonnets written to her husband Robert Browning (1806-1861),TRUE,FALSE,FALSE,FALSE,
oewn-10889822-n,"Buck, Pearl Buck, Pearl S. Buck, Pearl Sydenstricker Buck",United States author whose novels drew on her experiences as a missionary in China (1892-1973),TRUE,FALSE,FALSE,FALSE,
oewn-10892426-n,"Burk, Burke, Calamity Jane, Martha Jane Burk, Martha Jane Burke",United States frontierswoman and legendary figure of the Wild West noted for her marksmanship (1852-1903),TRUE,FALSE,FALSE,FALSE,
oewn-10892890-n,"Burnett, Frances Eliza Hodgson Burnett, Frances Hodgson Burnett",United States writer (born in England) remembered for her novels for children (1849-1924),TRUE,FALSE,FALSE,FALSE,
oewn-10899941-n,"Callas, Maria Callas, Maria Meneghini Callas",Greek coloratura soprano (born in the United States) known for her dramatic intensity in operatic roles (1923-1977),TRUE,FALSE,FALSE,FALSE,
oewn-10904349-n,"Rachel Carson, Rachel Louise Carson, Carson",United States biologist remembered for her opposition to the use of pesticides that were hazardous to wildlife (1907-1964),TRUE,FALSE,FALSE,FALSE,
oewn-10907042-n,"Catherine I, Catherine I of Russia",empress of Russia who succeeded her husband Peter the Great (1684-1727),TRUE,FALSE,FALSE,FALSE,
oewn-10907345-n,"Catherine, Catherine of Aragon",first wife of Henry VIII; Henry VIII's divorce from her was the initial step of the Reformation in England (1485-1536),TRUE,FALSE,FALSE,FALSE,
oewn-10907542-n,"Catherine de Medicis, Catherine de' Medici",queen of France as the wife of Henry II and regent during the minority of her son Charles IX (1519-1589),TRUE,FALSE,FALSE,FALSE,
oewn-10921579-n,Cleopatra,beautiful and charismatic queen of Egypt; mistress of Julius Caesar and later of Mark Antony; killed herself to avoid capture by Octavian (69-30 BC),TRUE,FALSE,FALSE,FALSE,
oewn-10931286-n,"Cornell, Katharine Cornell, Katherine Cornell",United States actress noted for her performances in Broadway plays (1893-1974),TRUE,FALSE,FALSE,FALSE,
oewn-10937455-n,"Curie, Madame Curie, Marie Curie, Marya Sklodowska",French chemist (born in Poland) who won two Nobel prizes; one (with her husband and Henri Becquerel) for research on radioactivity and another for her discovery of radium and polonium (1867-1934),TRUE,FALSE,FALSE,FALSE,
oewn-10953409-n,"Diana, Princess Diana, Princess of Wales, Lady Diana Frances Spencer",English aristocrat who was the first wife of Prince Charles; her death in an automobile accident in Paris produced intense national mourning (1961-1997),TRUE,FALSE,FALSE,FALSE,
oewn-10953680-n,"Diane de Poitiers, Duchesse de Valentinois",French noblewoman who was the mistress of Henry II; she had more influence over him than did his wife Catherine de Medicis (1499-1566),TRUE,FALSE,FALSE,FALSE,
oewn-10954362-n,"Dickinson, Emily Dickinson",United States poet noted for her mystical and unrhymed poems (1830-1886),TRUE,FALSE,FALSE,FALSE,
oewn-10955737-n,"Isak Dinesen, Baroness Karen Blixen, Blixen, Dinesen, Karen Blixen",Danish writer who lived in Kenya for 19 years and is remembered for her writings about Africa (1885-1962),TRUE,FALSE,FALSE,FALSE,
oewn-10966473-n,"Duse, Eleonora Duse",Italian actress best known for her performances in tragic roles (1858-1924),TRUE,FALSE,FALSE,FALSE,
oewn-10967395-n,"Amelia Earhart, Earhart",first woman aviator to fly solo nonstop across the Atlantic (1928); while attempting to fly around the world she disappeared over the Pacific (1898-1937),TRUE,FALSE,FALSE,FALSE,
oewn-10975912-n,Eleanor of Aquitaine,queen of France as the wife of Louis VII; that marriage was annulled in 1152 and she then married Henry II and became Queen of England (1122-1204),TRUE,FALSE,FALSE,FALSE,
oewn-10977322-n,"Elizabeth, Elizabeth I, Elizabeth I of England",Queen of England from 1558 to 1603; daughter of Henry VIII and Anne Boleyn; she succeeded Mary I (who was a Catholic) and restored Protestantism to England; during her reign Mary Queen of Scots was executed and the Spanish Armada was defeated; her reign was marked by prosperity and literary genius (1533-1603),TRUE,FALSE,FALSE,FALSE,
oewn-10977740-n,"Elizabeth, Elizabeth II",daughter of George VI who became the Queen of England and Northern Ireland in 1952 on the death of her father (1926-),TRUE,FALSE,FALSE,FALSE,
oewn-10987144-n,"Farrell, Eileen Farrell",United States operatic soprano noted for the clarity and power of her voice (1920-2002),TRUE,FALSE,FALSE,FALSE,
